entity	type	label_pt	comment_pt	label_en	comment_en	wikidata
Abufari_Biological_Reserve	Biological_reserve_(Brazil)	Reserva Biológica do Abufari	A Reserva Biológica do Abufari é uma reserva biológica brasileira localizada no estado do Amazonas, na bacia do rio Purus. A reserva é importante na proteção de tartarugas (Podocnemis expansa) de água doce da bacia amazônica, protegendo até 225 mil indíviduos.	Abufari Biological Reserve	Abufari Biological Reserve (Portuguese: Reserva Biológica do Abufari) is a biological reserve in the state of Amazonas, Brazil.It is mostly lowland tropical rainforest, with very diverse flora and fauna.	Q4670538
Acari_National_Park	National_park_(Brazil)	 Parque Nacional do Acari		Acari National Park	Acari National Park (Portuguese: Parque Nacional do Acari) is a national park in the state of Amazonas, Brazil.	Q24883510
Altamira_National_Forest	National_forest_(Brazil)	Floresta Nacional Altamira		Altamira National Forest	Altamira National Forest (Portuguese: Floresta Nacional Altamira is a national forest in the state of Pará Brazil.	Q25248159
Alto_Juruá_Extractive_Reserve	Extractive_reserve_(Brazil)	Reserva Extrativista Alto Juruá	A Reserva Extrativista do Alto Juruá é uma unidade de conservação federal do Brasil categorizada como reserva extrativista e criada por Decreto Presidencial em 23 de janeiro de 1990 numa área de 506.186 hectares no estado do Acre.	Alto Juruá Extractive Reserve	The Alto Juruá Extractive Reserve (Portuguese: Reserva Extrativista do Alto Juruá) is an extractive reserve in the state of Acre, Brazil.The reserve is in the Amazon rainforest. As of 2011 it had about 5,000 residents.The objective is to support traditional occupations including extraction of rubber and other forest resources, farming, hunting and fishing, while preserving the environment.	Q10359655
Alto_Maués_Ecological_Station	Ecological_station_(Brazil)	 Estação Ecológica Alto Maués		Alto Maués Ecological Station	Alto Maués Ecological Station (Portuguese: Estação Ecológica Alto Maués) is an ecological station, a fully protected area, in the state of Amazonas, Brazil. It contains about 6,656 square kilometres (2,570 sq mi) of Amazon rainforest.	Q24912081
Alto_Tarauacá_Extractive_Reserve	Extractive_reserve_(Brazil)	Reserva Extrativista Alto Tarauacá	A Reserva Extrativista do Alto Tarauacá é uma unidade de conservação federal do Brasil categorizada como reserva extrativista e criada por Decreto Presidencial em 08 de novembro de 2000 numa área de 151.199 hectares no estado do Acre.	Alto Tarauacá Extractive Reserve	The Alto Tarauacá Extractive Reserve (Portuguese: Reserva Extrativista do Alto Tarauacá) is an extractive reserve in the state of Acre, Brazil.	Q10359658
Amaná_National_Forest	National_forest_(Brazil)	Floresta Nacional do Amaná	A Floresta Nacional do Amana, criada em 13 de fevereiro de 2006 na região oeste do estado do Pará, nos municípios de Itaituba e Jacareacanga, tem um total de 540.470 hectares. Atualmente administrada pelo Instituto Chico Mendes de Conservação da Biodiversidade (ICMBIO), possui Conselho Consultivo e Plano de Manejo publicados.	Amaná National Forest	Amaná National Forest (Portuguese: Floresta Nacional do Amaná) is a national forest in the state of Pará, Brazil. Most of it has been allocated for use in sustainable forestry or community forestry. Mining is allowed.	Q10282892
Amanã_Sustainable_Development_Reserve	Sustainable_development_reserve_(Brazil)	 Reserva de Desenvolvimento Sustentável Amanã		Amanã Sustainable Development Reserve	Amanã Sustainable Development Reserve (Portuguese: Reserva de Desenvolvimento Sustentável Amanã) is a sustainable development reserve in the state of Amazonas, Brazil.	Q25064567
Amapá_National_Forest	National_forest_(Brazil)	Floresta Nacional de Amapá	A floresta nacional de Amapá está localizada no estado do Amapá na região norte do Brasil. O bioma predominante é o da Floresta Amazônica. Ela é uma Unidade de Conservação de Uso Sustentável e tem uma área de aproximadamente 459.800ha, sendo a 5ª maior Unidade de Conservação do Amapá. Conforme seu Decreto de Criação (Decreto № 97.630, de 10 de abril de 1989), a FLONA do Amapá tem por objetivo promover o uso múltiplo dos recursos naturais de forma a permitir a geração permanente de bens e serviços passíveis de serem oferecidos por essa UC.	Amapá National Forest	The Amapá National Forest (Portuguese: Floresta Nacional do Amapá) is a national forest in the state of Amapá, Brazil.	Q10282862
Amapá_State_Forest	State_forest_(Brazil)	 Floresta Estadual do Amapá		Amapá State Forest	The Amapá State Forest (Portuguese: Floresta Estadual do Amapá) is a state forest in the state of Amapá, Brazil.	
Amazonas_National_Forest	National_forest_(Brazil)	Floresta Nacional do Amazonas		Amazonas National Forest	The Amazonas National Forest (Portuguese: Floresta Nacional do Amazonas is a national forest in the state of Amazonas, Brazil.	Q25248104
Amazônia_National_Park	National_park_(Brazil)	Parque Nacional da Amazônia	O Parque Nacional da Amazônia situa-se no município de Itaituba, na região Sudoeste do estado do Pará, Brasil. Possui uma área de 945.851,00 (ha). O perímetro do parque é de 508.366,413 metros. É administrado pelo Instituto Chico Mendes de Conservação da Biodiversidade - ICMBio.	Amazônia National Park	The Amazônia National Park (Parque Nacional da Amazônia) was created in 1974, as a national park comprising 1,070,737 ha. It is situated in Itaituba and Trairão municipalities, Pará state, in the north region of Brazil. It is located in the watershed of the Tapajós River, about halfway between Manaus and Belém. It has expanded since its inception and now covers 8,600 square kilometres (3,300 sq mi). It is a very biodiverse habitat and contains a wide range of animals and plants. The specific objectives of the park are the preservation of various Amazonic ecosystems, through scientific, educational and recreational means.	Q372019
Anavilhanas_National_Park	National_park_(Brazil)	Parque Nacional de Anavilhanas	O Parque Nacional de Anavilhanas é uma unidade de conservação brasileira de proteção integral da natureza localizada no estado do Amazonas, com território distribuído pelos municípios de Iranduba, Manaus e Novo Airão.	Anavilhanas National Park	Anavilhanas National Park (Portuguese: Parque Nacional de Anavilhanas) is a national park that encompasses a huge river archipelago in the Rio Negro in the state of Amazonas, Brazil. It is part of a World Heritage Site.	Q392877
Antimary_State_Forest	State_forest_(Brazil)	 Floresta Estadual do Antimary		Antimary State Forest	The Antimary State Forest (Portuguese: Floresta Estadual do Antimary) is a state forest in the state of Acre, Brazil.It was the first state forest in Acre, established with the goal of understanding and implementing sustainable forest exploitation, including extraction of nuts and rubber as well as selective extraction of timber. It has been extensively studied and discussed internationally as a model of sustainable forest management.	Q25303543
Apiacás_Ecological_Reserve	Ecological_reserve_(Brazil)	Reserva Ecológica Apiacás		Apiacás Ecological Reserve	Apiacás Ecological Reserve is a State ecological reserve in the State of Mato Grosso, in Brazil.	Q4779789
Apuí_Mosaic	Protected_area_mosaic_(Brazil)	 Mosaico do Apuí		Apuí Mosaic	The Apuí Mosaic (Portuguese: Mosaico do Apuí) is a protected area mosaic in the state of Amazonas, Brazil.	
Apuí_State_Forest	State_forest_(Brazil)	 Floresta Estadual do Apuí		Apuí State Forest	The Apuí State Forest (Portuguese: Floresta Estadual do Apuí) is a state forest in the state of Amazonas, Brazil.	
Aquariquara_Extractive_Reserve	Extractive_reserve_(Brazil)	 Reserva Extrativista Aquariquara		Aquariquara Extractive Reserve	Aquariquara Extractive Reserve (Portuguese: Reserva Extrativista Aquariquara) is an extractive reserve in the state of Rondônia, Brazil.The main source of income for the residents is sale of latex (rubber) extracted using traditional methods. Lumber is also extracted on a sustainable basis, but many residents receive little or no compensation.Given the very low income from extraction, residents may turn to illegal logging, farming and livestock husbandry.	
Araguaia_National_Park	National_park_(Brazil)	Parque Nacional do Araguaia	O Parque Nacional do Araguaia foi criado durante a gestão do presidente Juscelino Kubitschek de Oliveira, em 31 de dezembro de 1959, no norte do Goiás, atualmente Tocantins. Inicialmente, o Parque Nacional do Araguaia ocupava toda a área da Ilha do Bananal, cerca de 2 milhões de hectares. Atualmente, após duas mudanças em seus limites, o Parque Nacional ocupa uma área equivalente a cerca de 562 mil hectares. Está localizado no terço norte da Ilha do Bananal, sudoeste do Estado do Tocantins, abrangendo parte dos municípios de Pium e Lagoa da Confusão.	Araguaia National Park	The Araguaia National Park (Parque Nacional do Araguaia) is a national park located in Tocantins state in the north of Brazil, between 09º51’—11º11’S and 49º57’—50º27’W. Bananal Island, on which the park is located, is believed to be the largest inland river island in the world.	Q4068420
Arapixi_Extractive_Reserve	Extractive_reserve_(Brazil)	 Reserva Extrativista Arapixi		Arapixi Extractive Reserve	The Arapixi Extractive Reserve (Portuguese: Reserva Extrativista Arapixi) is an extractive reserve in the state of Amazonas, Brazil.	
Araí-Peroba_Marine_Extractive_Reserve	Extractive_reserve_(Brazil)	Reserva Extrativista Marinha de Araí-Peroba	A Reserva Extrativista Marinha de Araí-Peroba é uma unidade de conservação federal do Brasil categorizada como reserva extrativista e criada por Decreto Presidencial em 20 de maio de 2005 numa área de 11.479 hectares no estado do Pará.	Araí-Peroba Marine Extractive Reserve	The Araí-Peroba Marine Extractive Reserve (Portuguese: Reserva Extrativista Marinha de Araí-Peroba) is a coastal marine extractive reserve in the state of Pará, Brazil.	Q10359678
Aripuanã_National_Forest	National_forest_(Brazil)	 Floresta Nacional do Aripuanã		Aripuanã National Forest	The Aripuanã National Forest (Portuguese: Floresta Nacional do Aripuanã) is a national forest in the state of Amazonas, Brazil.It supports sustainable forestry, and also protects the environment, supports scientific research and protects the sustainable lifestyle of the traditional inhabitants of the forest.	Q24887650
Aripuanã_State_Forest	State_forest_(Brazil)	 Floresta Estadual do Aripuanã		Aripuanã State Forest	The Aripuanã State Forest (Portuguese: Floresta Estadual do Aripuanã) is a State forest in the state of Amazonas, Brazil.	
Aripuanã_Sustainable_Development_Reserve	Sustainable_development_reserve_(Brazil)	 Reserva de Desenvolvimento Sustentável Aripuanã		Aripuanã Sustainable Development Reserve	The Aripuanã Sustainable Development Reserve (Portuguese: Reserva de Desenvolvimento Sustentável Aripuanã) is a sustainable development reserve in the state of Amazonas, Brazil.	
