dbpedia_id	dbpedia_label	inpe_id
Alto_Maués_Ecological_Station	Estação Ecológica Alto Maués	ESTAÇÃO ECOLÓGICA ALTO MAUÉS
Terra_do_Meio_Ecological_Station	Estação Ecológica da Terra do Meio	ESTAÇÃO ECOLÓGICA DA TERRA DO MEIO
Cuniã_Ecological_Station	Estação Ecológica de Cuniã	ESTAÇÃO ECOLÓGICA DE CUNIÃ
Altamira_National_Forest	Floresta Nacional Altamira	FLORESTA NACIONAL DE ALTAMIRA
Balata-Tufari_National_Forest	Floresta Nacional de Balata-Tufari	FLORESTA NACIONAL DE BALATA-TUFARI
Carajás_National_Forest	Floresta Nacional de Carajás	FLORESTA NACIONAL DE CARAJÁS
Caxiuanã_National_Forest	Floresta Nacional de Caxiuanã	FLORESTA NACIONAL DE CAXIUANÂ
Itaituba_I_National_Forest	Floresta Nacional de Itaituba I	FLORESTA NACIONAL DE ITAITUBA I
Itaituba_II_National_Forest	Floresta Nacional de Itaituba II	FLORESTA NACIONAL DE ITAITUBA II
Jacundá_National_Forest	Floresta Nacional de Jacundá	FLORESTA NACIONAL DE JACUNDÁ
Mulata_National_Forest	Floresta Nacional de Mulata	FLORESTA NACIONAL DE MULATA
Santa_Rosa_do_Purus_National_Forest	Floresta Nacional de Santa Rosa do Purus	FLORESTA NACIONAL DE SANTA ROSA DO PURUS
Saracá-Taquera_National_Forest	Floresta Nacional de Saracá-Taquera	FLORESTA NACIONAL DE SARACÁ-TAQUERA
Tefé_National_Forest	Floresta Nacional de Tefé	FLORESTA NACIONAL DE TEFÉ
Urupadi_National_Forest	Floresta Nacional de Urupadi	FLORESTA NACIONAL DE URUPADI
Amaná_National_Forest	Floresta Nacional do Amaná	FLORESTA NACIONAL DO AMANA
Amazonas_National_Forest	Floresta Nacional do Amazonas	FLORESTA NACIONAL DO AMAZONAS
Aripuanã_National_Forest	Floresta Nacional do Aripuanã	FLORESTA NACIONAL DO ARIPUANÃ
Jamanxim_National_Forest	Floresta Nacional do Jamanxim	FLORESTA NACIONAL DO JAMANXIM
Purus_National_Forest	Floresta Nacional de Purus	FLORESTA NACIONAL DO PURUS
Tapajós_National_Forest	Floresta Nacional do Tapajós	FLORESTA NACIONAL DO TAPAJÓS
Amaná_National_Forest	Floresta Nacional do Amaná	FLORESTA NACIONAL DO TAPIRAPÉAQUIRI
Trairão_National_Forest	Floresta Nacional do Trairão	FLORESTA NACIONAL DO TRAIRÃO
Mapiá-Inauini_National_Forest	Floresta Nacional Mapiá-Inauini	FLORESTA NACIONAL MAPIÁ - INAUINI
Amazônia_National_Park	Parque Nacional da Amazônia	PARQUE NACIONAL DA AMAZÔNIA
Serra_do_Divisor_National_Park	Parque Nacional da Serra do Divisor	PARQUE NACIONAL DA SERRA DO DIVISOR
Serra_do_Pardo_National_Park	Parque Nacional da Serra do Pardo	PARQUE NACIONAL DA SERRA DO PARDO
Pacaás_Novos_National_Park	Parque Nacional de Pacaás Novos	PARQUE NACIONAL DE PACAÁS NOVOS
Acari_National_Park	Parque Nacional do Acari	PARQUE NACIONAL DO ACARI
Cabo_Orange_National_Park	Parque Nacional do Cabo Orange	PARQUE NACIONAL DO CABO ORANGE
Jamanxim_National_Park	Parque Nacional do Jamanxim	PARQUE NACIONAL DO JAMANXIM
Jaú_National_Park	Parque Nacional do Jaú	PARQUE NACIONAL DO JAÚ
Juruena_National_Park	Parque Nacional do Juruena	PARQUE NACIONAL DO JURUENA
Rio_Novo_National_Park	Parque Nacional do Rio Novo	PARQUE NACIONAL DO RIO NOVO
Campos_Amazônicos_National_Park	Parque Nacional dos Campos Amazônicos	PARQUE NACIONAL DOS CAMPOS AMAZÔNICOS
Mapinguari_National_Park	Parque Nacional Mapinguari	PARQUE NACIONAL MAPINGUARI
Nascentes_do_Lago_Jari_National_Park	Parque Nacional das Nascentes do Lago Jari	PARQUE NACIONAL NASCENTES DO LAGO JARI
Gurupi_Biological_Reserve	Reserva Biológica do Gurupi	RESERVA BIOLÓGICA DO GURUPI
Nascentes_da_Serra_do_Cachimbo_Biological_Reserve	Reserva Biológica Nascentes da Serra do Cachimbo	RESERVA BIOLÓGICA NASCENTES DA SERRA DO CACHIMBO
Arapixi_Extractive_Reserve	Reserva Extrativista Arapixi	RESERVA EXTRATIVISTA ARAPIXI
Chico_Mendes_Extractive_Reserve	Reserva Extrativista Chico Mendes	RESERVA EXTRATIVISTA CHICO MENDES
Alto_Juruá_Extractive_Reserve	Reserva Extrativista Alto Juruá	RESERVA EXTRATIVISTA DO ALTO JURUÁ
Alto_Tarauacá_Extractive_Reserve	Reserva Extrativista Alto Tarauacá	RESERVA EXTRATIVISTA DO ALTO TARAUACÁ
Cazumbá-Iracema_Extractive_Reserve	Reserva Extrativista Cazumbá-Iracema	RESERVA EXTRATIVISTA DO CAZUMBÁ-IRACEMA
Médio_Juruá_Extractive_Reserve	Reserva Extrativista Médio Juruá	RESERVA EXTRATIVISTA DO MÉDIO JURUÁ
Médio_Purus_Extractive_Reserve	Reserva Extrativista do Médio Purus	RESERVA EXTRATIVISTA DO MÉDIO PURÚS
Rio_Cautário_Federal_Extractive_Reserve	Reserva Extrativista Federal do Rio Cautário	RESERVA EXTRATIVISTA DO RIO DO CAUTÁRIO
Rio_Ouro_Preto_Extractive_Reserve	Reserva Extrativista do Rio Ouro Preto	RESERVA EXTRATIVISTA DO RIO OURO PRETO
Ituxi_Extractive_Reserve	Reserva Extrativista Ituxí	RESERVA EXTRATIVISTA ITUXÍ
Tapajós-Arapiuns_Extractive_Reserve	Reserva Extrativista Tapajós-Arapiuns	RESERVA EXTRATIVISTA TAPAJÓS-ARAPIUNS
Verde_para_Sempre_Extractive_Reserve	Reserva Extrativista Verde para Sempre	RESERVA EXTRATIVISTA VERDE PARA SEMPRE
Igarapé Gelado Environmental Protection Area	Area de Protecao Ambiental do Igarape Gelado	ÁREA DE PROTEÇÃO AMBIENTAL DO IGARAPÉ GELADO
Campos_de_Manicoré_Environmental_Protection_Area	Área de Proteção Ambiental dos Campos de Manicoré	ÁREA DE PROTEÇÃO AMBIENTAL DOS CAMPOS DE MANICORÉ
Abaetetuba	Abaetetuba	Abaetetuba
Abel_Figueiredo	Abel Figueiredo	Abel Figueiredo
Acará	Acará (Pará)	Acara
Acrelândia	Acrelândia	Acrelandia
Afuá	Afuá	Afua
Alenquer,_Pará	Alenquer (Pará)	Alenquer
Almeirim,_Pará	Almeirim (Pará)	Almeirim
Alta_Floresta	Alta Floresta	Alta Floresta
Alta_Floresta_d'Oeste	Alta Floresta d'Oeste	Alta Floresta D'oeste
Altamira,_Pará	Altamira	Altamira
